Grade in school this year,AM Course - 1st Choice. (Drop down option),AM Course - 2nd Choice. (Drop down option),AM Course - 3rd Choice. (Drop down option),AM Course - 4th Choice. (Drop down option),AM Course - 5th Choice. (Drop down option),PM Course - 1st Choice. (Drop down option),PM Course - 2nd Choice. (Drop down option),PM Course - 3rd Choice. (Drop down option),PM Course - 4th Choice. (Drop down option),PM Course - 5th Choice. (Drop down option)
Junior,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Ultimate Frisbee,Lifeguarding - Full Day Course,College Tours - Full Day Course,Doughnuts around the world,Teamwork and Collaboration in Video Games,"Grilling, Games, & Grins",Board Games,Running Club
Junior,Ultimate Frisbee,Myths and Mirth,Knitting and Crochet: The Basics,Harry Potter: The Wizarding World of June Academy,Wilderness Survival,Teamwork and Collaboration in Video Games,Introduction to Dog Training,Creating Outside the Box,Board Games,Running Club
Sophomore,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Lifeguarding - Full Day Course,Beautiful Morning Hikes,Wilderness Survival,"Grilling, Games, & Grins",Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making,Floral Design with Foraging,Board Games
Freshman,Amazing Race - Full Day Course,,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Lifeguarding - Full Day Course,Myths and Mirth,Board Games,Doughnuts around the world,Globalization of East Asian Foodways,Introduction to Dog Training,"Grilling, Games, & Grins"
Sophomore,Fishing at the pond,Wilderness Survival,Web Design and Development,"Geography, Exploration, and Technology",Beautiful Morning Hikes,"Fly Fishing for Life - all are welcome, from beginners to experts",Shark Tank,Doughnuts around the world,Introduction to Dog Training,Board Games
Junior,Music Camp,Knitting and Crochet: The Basics,Jane Austen Book Club,Physics and Contemporary Issues,Beautiful Morning Hikes,Running Club,History Book Club: Women and the 1930s,Beads and Baubles: The Art of Jewelry Making,Doughnuts around the world,Globalization of East Asian Foodways
Sophomore,College Tours - Full Day Course,Fishing at the pond,Beautiful Morning Hikes,Web Design and Development,Amazing Race - Full Day Course,"Grilling, Games, & Grins","Fly Fishing for Life - all are welcome, from beginners to experts",Doughnuts around the world,Teamwork and Collaboration in Video Games,Globalization of East Asian Foodways
Freshman,Web Design and Development,Backyard Birdles,Science in Action: Real World Experiences - Full Day Course,College Tours - Full Day Course,Introduction to Podcasting,Songwriters' Seminar,"Grilling, Games, & Grins",Board Games,Doughnuts around the world,Shark Tank
Sophomore,College Tours - Full Day Course,Farming to Benefit the Community,Beautiful Morning Hikes,Wilderness Survival,Ultimate Frisbee,"Grilling, Games, & Grins",Doughnuts around the world,Running Club,Shark Tank,Mending and Hiking
Junior,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Play Like a Kid,Beautiful Storage,History of American Professional Football,"Grilling, Games, & Grins",Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making,Board Games,"Words, words, words... Word Puzzles and Games"
Junior,Amazing Race - Full Day Course,Ultimate Frisbee,Disc Golf,Fishing at the pond,Web Design and Development,Doughnuts around the world,"Grilling, Games, & Grins",Board Games,Shark Tank,History Book Club: Women and the 1930s
Sophomore,Myths and Mirth,Beautiful Storage,"Geography, Exploration, and Technology",Introduction to Podcasting,Knitting and Crochet: The Basics,Doughnuts around the world,Globalization of East Asian Foodways,"Grilling, Games, & Grins",Board Games,Teamwork and Collaboration in Video Games
Junior,Amazing Race - Full Day Course,Wilderness Survival,Disc Golf,Fishing at the pond,Ultimate Frisbee,"Grilling, Games, & Grins",Board Games,Doughnuts around the world,Shark Tank,Teamwork and Collaboration in Video Games
Junior,College Tours - Full Day Course,"Pave the Way to Understanding: African-American History Sites, Trails, and Walks - Full Day Course",Knitting and Crochet: The Basics,Web Design and Development,Play Like a Kid,"Words, words, words... Word Puzzles and Games","Grilling, Games, & Grins",Introduction to Dog Training,Floral Design with Foraging,Beads and Baubles: The Art of Jewelry Making
Junior,Amazing Race - Full Day Course,Wilderness Survival,Disc Golf,Fishing at the pond,Ultimate Frisbee,"Grilling, Games, & Grins",Board Games,Doughnuts around the world,Teamwork and Collaboration in Video Games,Shark Tank
Junior,Lifeguarding - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Amazing Race - Full Day Course,History of American Professional Football,Ultimate Frisbee,"Grilling, Games, & Grins","Fly Fishing for Life - all are welcome, from beginners to experts",Globalization of East Asian Foodways,Doughnuts around the world,Board Games
Sophomore,College Tours - Full Day Course,Beautiful Morning Hikes,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Wilderness Survival,The Poetry of Taylor Swift,Doughnuts around the world,"Grilling, Games, & Grins",Introduction to Dog Training,"Fly Fishing for Life - all are welcome, from beginners to experts",Globalization of East Asian Foodways
Sophomore,College Tours - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Beautiful Morning Hikes,Backyard Birdles,The Poetry of Taylor Swift,Doughnuts around the world,Introduction to Dog Training,"Grilling, Games, & Grins","Quilting as Art, Quilting as Craft","Words, words, words... Word Puzzles and Games"
Junior,Wilderness Survival,Play Like a Kid,Fishing at the pond,Ultimate Frisbee,Disc Golf,"Grilling, Games, & Grins","Fly Fishing for Life - all are welcome, from beginners to experts",Board Games,Shark Tank,Teamwork and Collaboration in Video Games
Freshman,Amazing Race - Full Day Course,Beautiful Morning Hikes,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Disc Golf,Ultimate Frisbee,Doughnuts around the world,"Grilling, Games, & Grins",Board Games,Globalization of East Asian Foodways,Teamwork and Collaboration in Video Games
Junior,History of American Professional Football,Fishing at the pond,Ultimate Frisbee,Play Like a Kid,Disc Golf,"Grilling, Games, & Grins",Doughnuts around the world,Shark Tank,Board Games,"Fly Fishing for Life - all are welcome, from beginners to experts"
Junior,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Beautiful Morning Hikes,Backyard Birdles,Ultimate Frisbee,"Grilling, Games, & Grins",Doughnuts around the world,Globalization of East Asian Foodways,Beads and Baubles: The Art of Jewelry Making,Introduction to Dog Training
Junior,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Play Like a Kid,Beautiful Storage,History of American Professional Football,"Grilling, Games, & Grins",Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making,Board Games,"Words, words, words... Word Puzzles and Games"
Sophomore,College Tours - Full Day Course,Fishing at the pond,Disc Golf,Ultimate Frisbee,Wilderness Survival,Teamwork and Collaboration in Video Games,Doughnuts around the world,Board Games,Running Club,Shark Tank
Junior,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Beautiful Morning Hikes,Backyard Birdles,Ultimate Frisbee,"Grilling, Games, & Grins",Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making,Globalization of East Asian Foodways,Introduction to Dog Training
Junior,Ultimate Frisbee,Amazing Race - Full Day Course,Fishing at the pond,Wilderness Survival,Beautiful Morning Hikes,Doughnuts around the world,Teamwork and Collaboration in Video Games,"Grilling, Games, & Grins",Board Games,Teamwork and Collaboration in Video Games
Sophomore,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,College Tours - Full Day Course,"Pave the Way to Understanding: African-American History Sites, Trails, and Walks - Full Day Course",Amazing Race - Full Day Course,Play Like a Kid,"Grilling, Games, & Grins",Doughnuts around the world,"Words, words, words... Word Puzzles and Games",Introduction to Dog Training,Shark Tank
Sophomore,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Amazing Race - Full Day Course,Beautiful Morning Hikes,Fishing at the pond,Backyard Birdles,"Grilling, Games, & Grins",Mending and Hiking,Doughnuts around the world,Globalization of East Asian Foodways,"Fly Fishing for Life - all are welcome, from beginners to experts"
Junior,Amazing Race - Full Day Course,Beautiful Morning Hikes,Harry Potter: The Wizarding World of June Academy,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Lifeguarding - Full Day Course,"Grilling, Games, & Grins",Doughnuts around the world,Globalization of East Asian Foodways,Beads and Baubles: The Art of Jewelry Making,Introduction to Dog Training
Junior,Beautiful Morning Hikes,Play Like a Kid,Wilderness Survival,Disc Golf,Backyard Birdles,"Grilling, Games, & Grins",Teamwork and Collaboration in Video Games,"Fly Fishing for Life - all are welcome, from beginners to experts",Doughnuts around the world,The Joy of Learning and Knowing Trivial Things
Sophomore,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Amazing Race - Full Day Course,Beautiful Morning Hikes,Fishing at the pond,Backyard Birdles,"Grilling, Games, & Grins",Mending and Hiking,Doughnuts around the world,Globalization of East Asian Foodways,"Fly Fishing for Life - all are welcome, from beginners to experts"
Freshman,Wilderness Survival,Amazing Race - Full Day Course,Fishing at the pond,Beautiful Morning Hikes,Backyard Birdles,Board Games,"Fly Fishing for Life - all are welcome, from beginners to experts",Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making,Mending and Hiking
Freshman,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,College Tours - Full Day Course,Web Design and Development,Beautiful Morning Hikes,Doughnuts around the world,NASA in the Movies,Shark Tank,"Grilling, Games, & Grins",Board Games
Junior,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Science in Action: Real World Experiences - Full Day Course,Myths and Mirth,Beautiful Morning Hikes,Doughnuts around the world,Globalization of East Asian Foodways,Intro to Italian,"Grilling, Games, & Grins",Beads and Baubles: The Art of Jewelry Making
Junior,Lifeguarding - Full Day Course,Ultimate Frisbee,College Tours - Full Day Course,Web Design and Development,Beautiful Morning Hikes,Doughnuts around the world,Introduction to Dog Training,"Grilling, Games, & Grins",Intro to Italian,Board Games
Junior,Amazing Race - Full Day Course,Play Like a Kid,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Beautiful Morning Hikes,Fishing at the pond,"Grilling, Games, & Grins",Doughnuts around the world,Globalization of East Asian Foodways,Introduction to Dog Training,"Fly Fishing for Life - all are welcome, from beginners to experts"
Junior,Beautiful Morning Hikes,Play Like a Kid,Wilderness Survival,Disc Golf,Backyard Birdles,"Grilling, Games, & Grins",Teamwork and Collaboration in Video Games,"Fly Fishing for Life - all are welcome, from beginners to experts",The Joy of Learning and Knowing Trivial Things,Doughnuts around the world
Sophomore,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Amazing Race - Full Day Course,Beautiful Morning Hikes,Fishing at the pond,Backyard Birdles,"Grilling, Games, & Grins",Mending and Hiking,Doughnuts around the world,Globalization of East Asian Foodways,"Grilling, Games, & Grins"
Sophomore,Lifeguarding - Full Day Course,Amazing Race - Full Day Course,Fishing at the pond,Beautiful Morning Hikes,College Tours - Full Day Course,"Grilling, Games, & Grins",Doughnuts around the world,Teamwork and Collaboration in Video Games,"Fly Fishing for Life - all are welcome, from beginners to experts",Globalization of East Asian Foodways
Freshman,Amazing Race - Full Day Course,Music Camp,Disc Golf,The Poetry of Taylor Swift,Beautiful Morning Hikes,Doughnuts around the world,"Grilling, Games, & Grins",NASA in the Movies,Board Games,Shark Tank
Freshman,Ultimate Frisbee,College Tours - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Disc Golf,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,"Grilling, Games, & Grins",Doughnuts around the world,Intro to Italian,Globalization of East Asian Foodways,Shark Tank
Freshman,Introduction to Podcasting,Ultimate Frisbee,Lifeguarding - Full Day Course,Knitting and Crochet: The Basics,Fishing at the pond,Doughnuts around the world,Intro to Italian,Beads and Baubles: The Art of Jewelry Making,"Grilling, Games, & Grins",NASA in the Movies
Junior,Amazing Race - Full Day Course,Introduction to Podcasting,Fishing at the pond,Play Like a Kid,Ultimate Frisbee,"Grilling, Games, & Grins",Introduction to Dog Training,Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making,Board Games
Junior,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Fishing at the pond,Play Like a Kid,History of American Professional Football,"Grilling, Games, & Grins",Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making,Floral Design with Foraging,Board Games
Sophomore,College Tours - Full Day Course,Fishing at the pond,Ultimate Frisbee,Disc Golf,Wilderness Survival,Teamwork and Collaboration in Video Games,Doughnuts around the world,Board Games,Running Club,Doughnuts around the world
Freshman,Fishing at the pond,Wilderness Survival,Disc Golf,Ultimate Frisbee,History of American Professional Football,Doughnuts around the world,Shark Tank,Board Games,"Fly Fishing for Life - all are welcome, from beginners to experts",Mending and Hiking
Junior,Fishing at the pond,Ultimate Frisbee,Disc Golf,History of American Professional Football,Harry Potter: The Wizarding World of June Academy,"Grilling, Games, & Grins",Doughnuts around the world,"Fly Fishing for Life - all are welcome, from beginners to experts",The Joy of Learning and Knowing Trivial Things,Introduction to Dog Training
Sophomore,College Tours - Full Day Course,Amazing Race - Full Day Course,Ultimate Frisbee,Disc Golf,Wilderness Survival,Doughnuts around the world,"Grilling, Games, & Grins","Words, words, words... Word Puzzles and Games","Fly Fishing for Life - all are welcome, from beginners to experts",NASA in the Movies
Junior,Fishing at the pond,Wilderness Survival,Farming to Benefit the Community,Backyard Birdles,Music Camp,"Grilling, Games, & Grins",Introduction to Dog Training,Doughnuts around the world,The Show Must Go On,Running Club
Junior,Fishing at the pond,Play Like a Kid,Ultimate Frisbee,Ultimate Frisbee,Disc Golf,"Grilling, Games, & Grins",Board Games,Doughnuts around the world,Introduction to Dog Training,"Words, words, words... Word Puzzles and Games"
Junior,Harry Potter: The Wizarding World of June Academy,Music Camp,Knitting and Crochet: The Basics,Web Design and Development,Fishing at the pond,Globalization of East Asian Foodways,Doughnuts around the world,The Joy of Learning and Knowing Trivial Things,Introduction to Dog Training,Creating Outside the Box
Sophomore,Wilderness Survival,Web Design and Development,"Geography, Exploration, and Technology",Physics and Contemporary Issues,Science in Action: Real World Experiences - Full Day Course,Mending and Hiking,Running Club,"Words, words, words... Word Puzzles and Games",History Book Club: Women and the 1930s,Globalization of East Asian Foodways
Sophomore,Play Like a Kid,Wilderness Survival,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Amazing Race - Full Day Course,Fishing at the pond,"Fly Fishing for Life - all are welcome, from beginners to experts","Grilling, Games, & Grins",Shark Tank,Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making
Sophomore,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,College Tours - Full Day Course,"Pave the Way to Understanding: African-American History Sites, Trails, and Walks - Full Day Course",Amazing Race - Full Day Course,Play Like a Kid,"Grilling, Games, & Grins",Doughnuts around the world,"Words, words, words... Word Puzzles and Games",Introduction to Dog Training,Shark Tank
Sophomore,College Tours - Full Day Course,Science in Action: Real World Experiences - Full Day Course,Amazing Race - Full Day Course,Beautiful Morning Hikes,Beautiful Storage,NASA in the Movies,"Grilling, Games, & Grins",Doughnuts around the world,Floral Design with Foraging,Board Games
Junior,Fishing at the pond,Ultimate Frisbee,Wilderness Survival,Science in Action: Real World Experiences - Full Day Course,Physics and Contemporary Issues,"Fly Fishing for Life - all are welcome, from beginners to experts","Grilling, Games, & Grins",Teamwork and Collaboration in Video Games,Board Games,Introduction to Dog Training
Sophomore,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,College Tours - Full Day Course,"Pave the Way to Understanding: African-American History Sites, Trails, and Walks - Full Day Course",Amazing Race - Full Day Course,Play Like a Kid,"Grilling, Games, & Grins",Doughnuts around the world,"Words, words, words... Word Puzzles and Games",Introduction to Dog Training,Shark Tank
Sophomore,College Tours - Full Day Course,Amazing Race - Full Day Course,Ultimate Frisbee,Wilderness Survival,Play Like a Kid,"Grilling, Games, & Grins",Doughnuts around the world,Running Club,Intro to Italian,"Fly Fishing for Life - all are welcome, from beginners to experts"
Freshman,Amazing Race - Full Day Course,Beautiful Morning Hikes,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,College Tours - Full Day Course,Play Like a Kid,Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making,"Grilling, Games, & Grins",Introduction to Dog Training,Shark Tank
Sophomore,Knitting and Crochet: The Basics,Play Like a Kid,Farming to Benefit the Community,Civil Rights Tour of Greater Boston - Full Day Course,Wilderness Survival,Songwriters' Seminar,Creating Outside the Box,Floral Design with Foraging,The Show Must Go On,Mending and Hiking
Sophomore,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,College Tours - Full Day Course,"Pave the Way to Understanding: African-American History Sites, Trails, and Walks - Full Day Course",Amazing Race - Full Day Course,Play Like a Kid,"Grilling, Games, & Grins",Doughnuts around the world,"Words, words, words... Word Puzzles and Games",Introduction to Dog Training,Shark Tank
Freshman,Backyard Birdles,Beautiful Morning Hikes,Wilderness Survival,College Tours - Full Day Course,Fishing at the pond,"Grilling, Games, & Grins",Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making,Introduction to Dog Training,Globalization of East Asian Foodways
Junior,Fishing at the pond,Farming to Benefit the Community,Wilderness Survival,Disc Golf,Beautiful Morning Hikes,"Grilling, Games, & Grins",Introduction to Dog Training,Doughnuts around the world,Creating Outside the Box,Mending and Hiking
Sophomore,Fishing at the pond,Beautiful Morning Hikes,Farming to Benefit the Community,Wilderness Survival,Web Design and Development,Doughnuts around the world,Introduction to Dog Training,The Joy of Learning and Knowing Trivial Things,Shark Tank,Board Games
Freshman,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Beautiful Morning Hikes,Beautiful Storage,Wilderness Survival,Songwriters' Seminar,Floral Design with Foraging,Doughnuts around the world,Creating Outside the Box,"Grilling, Games, & Grins"
Junior,Amazing Race - Full Day Course,Play Like a Kid,The Poetry of Taylor Swift,Ultimate Frisbee,Beautiful Storage,Doughnuts around the world,"Words, words, words... Word Puzzles and Games",Intro to Italian,Board Games,Beads and Baubles: The Art of Jewelry Making
Freshman,Amazing Race - Full Day Course,Beautiful Morning Hikes,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Disc Golf,Ultimate Frisbee,Doughnuts around the world,Introduction to Dog Training,Board Games,Teamwork and Collaboration in Video Games,"Words, words, words... Word Puzzles and Games"
Freshman,Knitting and Crochet: The Basics,Beautiful Morning Hikes,Music Camp,Farming to Benefit the Community,Backyard Birdles,Beads and Baubles: The Art of Jewelry Making,Floral Design with Foraging,Creating Outside the Box,Board Games,Doughnuts around the world
Freshman,Wilderness Survival,Amazing Race - Full Day Course,Knitting and Crochet: The Basics,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Play Like a Kid,Doughnuts around the world,"Grilling, Games, & Grins",Board Games,Floral Design with Foraging,Beads and Baubles: The Art of Jewelry Making
Junior,Backyard Birdles,Beautiful Morning Hikes,Ultimate Frisbee,Amazing Race - Full Day Course,Fishing at the pond,"Grilling, Games, & Grins",Teamwork and Collaboration in Video Games,"Fly Fishing for Life - all are welcome, from beginners to experts",Board Games,NASA in the Movies
Freshman,Wilderness Survival,Amazing Race - Full Day Course,Knitting and Crochet: The Basics,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Play Like a Kid,Doughnuts around the world,"Grilling, Games, & Grins",Board Games,Floral Design with Foraging,Beads and Baubles: The Art of Jewelry Making
Freshman,Knitting and Crochet: The Basics,Play Like a Kid,Wilderness Survival,Backyard Birdles,Beautiful Storage,"Quilting as Art, Quilting as Craft",Beads and Baubles: The Art of Jewelry Making,Board Games,Floral Design with Foraging,Shark Tank
Freshman,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Lifeguarding - Full Day Course,Ultimate Frisbee,Wilderness Survival,Doughnuts around the world,"Grilling, Games, & Grins",Teamwork and Collaboration in Video Games,Board Games,Globalization of East Asian Foodways
Sophomore,College Tours - Full Day Course,History of American Professional Football,Beautiful Morning Hikes,Amazing Race - Full Day Course,Ultimate Frisbee,"Grilling, Games, & Grins",Doughnuts around the world,Shark Tank,Running Club,NASA in the Movies
Junior,Play Like a Kid,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Introduction to Podcasting,College Tours - Full Day Course,Web Design and Development,"Grilling, Games, & Grins","Fly Fishing for Life - all are welcome, from beginners to experts",Shark Tank,Doughnuts around the world,Latin American Music and Zumba
Junior,Fishing at the pond,Wilderness Survival,Farming to Benefit the Community,Fishing at the pond,Disc Golf,"Grilling, Games, & Grins",Shark Tank,Introduction to Dog Training,Teamwork and Collaboration in Video Games,"Grilling, Games, & Grins"
Junior,Beautiful Morning Hikes,Music Camp,Harry Potter: The Wizarding World of June Academy,Amazing Race - Full Day Course,Fishing at the pond,Intro to Italian,Songwriters' Seminar,Teamwork and Collaboration in Video Games,"Fly Fishing for Life - all are welcome, from beginners to experts",Globalization of East Asian Foodways
Junior,Play Like a Kid,Amazing Race - Full Day Course,Beautiful Morning Hikes,Ultimate Frisbee,Fishing at the pond,"Grilling, Games, & Grins",Doughnuts around the world,Shark Tank,Introduction to Dog Training,Beads and Baubles: The Art of Jewelry Making
Sophomore,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,College Tours - Full Day Course,Amazing Race - Full Day Course,"Pave the Way to Understanding: African-American History Sites, Trails, and Walks - Full Day Course",Play Like a Kid,"Grilling, Games, & Grins",Doughnuts around the world,"Words, words, words... Word Puzzles and Games",Introduction to Dog Training,Shark Tank
Sophomore,Amazing Race - Full Day Course,History of American Professional Football,College Tours - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Lifeguarding - Full Day Course,"Grilling, Games, & Grins",Doughnuts around the world,Globalization of East Asian Foodways,"Fly Fishing for Life - all are welcome, from beginners to experts",Shark Tank
Freshman,Amazing Race - Full Day Course,Wilderness Survival,Beautiful Morning Hikes,Play Like a Kid,Lifeguarding - Full Day Course,"Grilling, Games, & Grins",Latin American Music and Zumba,Shark Tank,NASA in the Movies,"Words, words, words... Word Puzzles and Games"
Sophomore,Wilderness Survival,Beautiful Morning Hikes,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Ultimate Frisbee,Introduction to Podcasting,"Grilling, Games, & Grins",Board Games,Doughnuts around the world,Mending and Hiking,Running Club
Freshman,Wilderness Survival,Beautiful Morning Hikes,Fishing at the pond,Amazing Race - Full Day Course,Disc Golf,Running Club,Doughnuts around the world,Shark Tank,Globalization of East Asian Foodways,Introduction to Dog Training
Sophomore,Amazing Race - Full Day Course,College Tours - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Disc Golf,Ultimate Frisbee,Board Games,Shark Tank,Doughnuts around the world,"Grilling, Games, & Grins",Running Club
Sophomore,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Amazing Race - Full Day Course,Science in Action: Real World Experiences - Full Day Course,Backyard Birdles,Beautiful Morning Hikes,"Grilling, Games, & Grins",Doughnuts around the world,Globalization of East Asian Foodways,Floral Design with Foraging,Board Games
Freshman,The Poetry of Taylor Swift,Wilderness Survival,Knitting and Crochet: The Basics,Beautiful Morning Hikes,Jane Austen Book Club,Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making,Board Games,Shark Tank,"Words, words, words... Word Puzzles and Games"
Junior,Play Like a Kid,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Science in Action: Real World Experiences - Full Day Course,Introduction to Podcasting,Introduction to Dog Training,"Grilling, Games, & Grins",Globalization of East Asian Foodways,Intro to Italian,Doughnuts around the world
Freshman,Amazing Race - Full Day Course,Fishing at the pond,History of American Professional Football,Wilderness Survival,Disc Golf,Doughnuts around the world,"Grilling, Games, & Grins","Fly Fishing for Life - all are welcome, from beginners to experts",Shark Tank,NASA in the Movies
Junior,Fishing at the pond,Ultimate Frisbee,Disc Golf,Civil Rights Tour of Greater Boston - Full Day Course,History of American Professional Football,"Grilling, Games, & Grins",Shark Tank,Teamwork and Collaboration in Video Games,"Fly Fishing for Life - all are welcome, from beginners to experts",Intro to Italian
Sophomore,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Civil Rights Tour of Greater Boston - Full Day Course,"Pave the Way to Understanding: African-American History Sites, Trails, and Walks - Full Day Course",College Tours - Full Day Course,Introduction to Podcasting,Doughnuts around the world,Globalization of East Asian Foodways,"Grilling, Games, & Grins",Mending and Hiking,Creating Outside the Box
Freshman,Amazing Race - Full Day Course,Wilderness Survival,Beautiful Morning Hikes,Play Like a Kid,Lifeguarding - Full Day Course,"Grilling, Games, & Grins",Latin American Music and Zumba,Shark Tank,NASA in the Movies,"Words, words, words... Word Puzzles and Games"
Junior,Introduction to Podcasting,Web Design and Development,Harry Potter: The Wizarding World of June Academy,Play Like a Kid,Wilderness Survival,Teamwork and Collaboration in Video Games,Doughnuts around the world,Board Games,Latin American Music and Zumba,"Grilling, Games, & Grins"
Sophomore,College Tours - Full Day Course,Amazing Race - Full Day Course,Wilderness Survival,Play Like a Kid,History of American Professional Football,"Grilling, Games, & Grins",Doughnuts around the world,"Words, words, words... Word Puzzles and Games","Fly Fishing for Life - all are welcome, from beginners to experts",Globalization of East Asian Foodways
Sophomore,Web Design and Development,Farming to Benefit the Community,Fishing at the pond,Introduction to Podcasting,Amazing Race - Full Day Course,"Grilling, Games, & Grins","Fly Fishing for Life - all are welcome, from beginners to experts",Doughnuts around the world,NASA in the Movies,Intro to Italian
Freshman,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Fishing at the pond,Amazing Race - Full Day Course,Backyard Birdles,Myths and Mirth,"Fly Fishing for Life - all are welcome, from beginners to experts",Board Games,Doughnuts around the world,Introduction to Dog Training,"Words, words, words... Word Puzzles and Games"
Freshman,Play Like a Kid,Beautiful Morning Hikes,Wilderness Survival,Ultimate Frisbee,Fishing at the pond,"Grilling, Games, & Grins",Board Games,Doughnuts around the world,NASA in the Movies,Creating Outside the Box
Freshman,Introduction to Podcasting,Play Like a Kid,Lifeguarding - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Web Design and Development,Shark Tank,Intro to Italian,Doughnuts around the world,Introduction to Dog Training,"Words, words, words... Word Puzzles and Games"
Freshman,Amazing Race - Full Day Course,Beautiful Morning Hikes,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Disc Golf,Introduction to Podcasting,Doughnuts around the world,Globalization of East Asian Foodways,Introduction to Dog Training,Shark Tank,Teamwork and Collaboration in Video Games
Freshman,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Beautiful Morning Hikes,Disc Golf,Ultimate Frisbee,Doughnuts around the world,"Grilling, Games, & Grins",Board Games,Teamwork and Collaboration in Video Games,Globalization of East Asian Foodways
Sophomore,Amazing Race - Full Day Course,Fishing at the pond,Wilderness Survival,Ultimate Frisbee,History of American Professional Football,"Grilling, Games, & Grins",Shark Tank,NASA in the Movies,"Fly Fishing for Life - all are welcome, from beginners to experts",Women in Sports
Freshman,Disc Golf,Fishing at the pond,Ultimate Frisbee,Amazing Race - Full Day Course,Wilderness Survival,"Grilling, Games, & Grins",Doughnuts around the world,Shark Tank,Introduction to Dog Training,Songwriters' Seminar
Freshman,Disc Golf,Ultimate Frisbee,Fishing at the pond,Amazing Race - Full Day Course,Wilderness Survival,"Grilling, Games, & Grins",Doughnuts around the world,Shark Tank,Introduction to Dog Training,Songwriters' Seminar
Sophomore,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Amazing Race - Full Day Course,Harry Potter: The Wizarding World of June Academy,College Tours - Full Day Course,Play Like a Kid,"Grilling, Games, & Grins",Doughnuts around the world,Shark Tank,Introduction to Dog Training,Floral Design with Foraging
