Grade in school this year,AM Course - 1st Choice. (Drop down option),AM Course - 2nd Choice. (Drop down option),AM Course - 3rd Choice. (Drop down option),AM Course - 4th Choice. (Drop down option),AM Course - 5th Choice. (Drop down option),PM Course - 1st Choice. (Drop down option),PM Course - 2nd Choice. (Drop down option),PM Course - 3rd Choice. (Drop down option),PM Course - 4th Choice. (Drop down option),PM Course - 5th Choice. (Drop down option)
Freshman,Wilderness Survival,Amazing Race - Full Day Course,Beautiful Morning Hikes,Backyard Birdles,Fishing at the pond,Board Games,"Fly Fishing for Life - all are welcome, from beginners to experts",Mending and Hiking,The Joy of Learning and Knowing Trivial Things,"Quilting as Art, Quilting as Craft"
Freshman,Knitting and Crochet: The Basics,"Geography, Exploration, and Technology",Wilderness Survival,Backyard Birdles,Disc Golf,Board Games,"Grilling, Games, & Grins",Doughnuts around the world,Teamwork and Collaboration in Video Games,"Fly Fishing for Life - all are welcome, from beginners to experts"
Sophomore,Disc Golf,Fishing at the pond,Beautiful Storage,Ultimate Frisbee,Beautiful Morning Hikes,"Grilling, Games, & Grins",Doughnuts around the world,Shark Tank,"Fly Fishing for Life - all are welcome, from beginners to experts","Words, words, words... Word Puzzles and Games"
Junior,Ultimate Frisbee,Fishing at the pond,Wilderness Survival,History of American Professional Football,Disc Golf,"Grilling, Games, & Grins","Fly Fishing for Life - all are welcome, from beginners to experts",Shark Tank,Doughnuts around the world,Board Games
Sophomore,Disc Golf,Fishing at the pond,Beautiful Storage,Ultimate Frisbee,Beautiful Morning Hikes,"Grilling, Games, & Grins",Doughnuts around the world,Shark Tank,"Fly Fishing for Life - all are welcome, from beginners to experts","Words, words, words... Word Puzzles and Games"
Sophomore,Wilderness Survival,Beautiful Morning Hikes,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Ultimate Frisbee,Introduction to Podcasting,"Grilling, Games, & Grins",Board Games,Doughnuts around the world,Shark Tank,Songwriters' Seminar
Junior,Beautiful Morning Hikes,Farming to Benefit the Community,"Geography, Exploration, and Technology",Introduction to Podcasting,Web Design and Development,Latin American Music and Zumba,Running Club,"Quilting as Art, Quilting as Craft",Floral Design with Foraging,"Grilling, Games, & Grins"
Junior,Science in Action: Real World Experiences - Full Day Course,College Tours - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Beautiful Morning Hikes,Physics and Contemporary Issues,"Grilling, Games, & Grins",Doughnuts around the world,The Joy of Learning and Knowing Trivial Things,Shark Tank,Mending and Hiking
Sophomore,Beautiful Morning Hikes,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Myths and Mirth,Introduction to Podcasting,The Poetry of Taylor Swift,Doughnuts around the world,Globalization of East Asian Foodways,NASA in the Movies,Mending and Hiking,Introduction to Dog Training
Freshman,Harry Potter: The Wizarding World of June Academy,Myths and Mirth,Physics and Contemporary Issues,Web Design and Development,Wilderness Survival,The Joy of Learning and Knowing Trivial Things,Doughnuts around the world,Intro to Italian,"Words, words, words... Word Puzzles and Games",Board Games
Sophomore,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,College Tours - Full Day Course,Play Like a Kid,Wilderness Survival,Beautiful Morning Hikes,Globalization of East Asian Foodways,Mending and Hiking,"Grilling, Games, & Grins",Shark Tank,Floral Design with Foraging
Sophomore,College Tours - Full Day Course,Backyard Birdles,Wilderness Survival,Beautiful Morning Hikes,Knitting and Crochet: The Basics,Doughnuts around the world,"Quilting as Art, Quilting as Craft","Words, words, words... Word Puzzles and Games",Beads and Baubles: The Art of Jewelry Making,Intro to Italian
Sophomore,Wilderness Survival,Beautiful Morning Hikes,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Ultimate Frisbee,Introduction to Podcasting,"Grilling, Games, & Grins",Board Games,Doughnuts around the world,Shark Tank,Songwriters' Seminar
Freshman,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,College Tours - Full Day Course,Civil Rights Tour of Greater Boston - Full Day Course,Web Design and Development,Fishing at the pond,"Grilling, Games, & Grins",Latin American Music and Zumba,Doughnuts around the world,Introduction to Dog Training,Women in Sports
Sophomore,Music Camp,Beautiful Morning Hikes,College Tours - Full Day Course,"Geography, Exploration, and Technology",Fishing at the pond,Doughnuts around the world,The Joy of Learning and Knowing Trivial Things,"Words, words, words... Word Puzzles and Games",Intro to Italian,Globalization of East Asian Foodways
Sophomore,College Tours - Full Day Course,Fishing at the pond,Ultimate Frisbee,Beautiful Morning Hikes,Wilderness Survival,"Grilling, Games, & Grins",Doughnuts around the world,Shark Tank,Creating Outside the Box,Beads and Baubles: The Art of Jewelry Making
Freshman,Amazing Race - Full Day Course,Fishing at the pond,Civil Rights Tour of Greater Boston - Full Day Course,Disc Golf,Lifeguarding - Full Day Course,Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making,Floral Design with Foraging,Board Games,"Grilling, Games, & Grins"
Junior,Amazing Race - Full Day Course,Physics and Contemporary Issues,Introduction to Podcasting,The Poetry of Taylor Swift,Wilderness Survival,Doughnuts around the world,Introduction to Dog Training,Board Games,Globalization of East Asian Foodways,History Book Club: Women and the 1930s
Freshman,Ultimate Frisbee,Disc Golf,Web Design and Development,Fishing at the pond,Farming to Benefit the Community,Doughnuts around the world,"Grilling, Games, & Grins",NASA in the Movies,Teamwork and Collaboration in Video Games,Shark Tank
Junior,Wilderness Survival,Web Design and Development,Fishing at the pond,Disc Golf,"Geography, Exploration, and Technology","Grilling, Games, & Grins",Doughnuts around the world,Teamwork and Collaboration in Video Games,Board Games,Introduction to Dog Training
Freshman,Web Design and Development,Fishing at the pond,Disc Golf,"Geography, Exploration, and Technology",Wilderness Survival,Teamwork and Collaboration in Video Games,"Grilling, Games, & Grins",Board Games,Doughnuts around the world,Running Club
Junior,Ultimate Frisbee,History of American Professional Football,Fishing at the pond,Civil Rights Tour of Greater Boston - Full Day Course,Wilderness Survival,"Grilling, Games, & Grins",Teamwork and Collaboration in Video Games,Board Games,Doughnuts around the world,Introduction to Dog Training
Junior,Wilderness Survival,Play Like a Kid,Beautiful Morning Hikes,Backyard Birdles,Ultimate Frisbee,"Grilling, Games, & Grins","Quilting as Art, Quilting as Craft",Board Games,Mending and Hiking,Doughnuts around the world
Sophomore,College Tours - Full Day Course,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Civil Rights Tour of Greater Boston - Full Day Course,Fishing at the pond,"Grilling, Games, & Grins",Doughnuts around the world,Board Games,Beads and Baubles: The Art of Jewelry Making,Mending and Hiking
Junior,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Beautiful Morning Hikes,Jane Austen Book Club,Harry Potter: The Wizarding World of June Academy,Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making,Beads and Baubles: The Art of Jewelry Making,Floral Design with Foraging,Board Games
Sophomore,College Tours - Full Day Course,Beautiful Morning Hikes,Jane Austen Book Club,The Poetry of Taylor Swift,Harry Potter: The Wizarding World of June Academy,Doughnuts around the world,Floral Design with Foraging,Mending and Hiking,Songwriters' Seminar,Introduction to Dog Training
Sophomore,Amazing Race - Full Day Course,Backyard Birdles,Lifeguarding - Full Day Course,Wilderness Survival,Civil Rights Tour of Greater Boston - Full Day Course,Doughnuts around the world,Mending and Hiking,Globalization of East Asian Foodways,Intro to Italian,"Fly Fishing for Life - all are welcome, from beginners to experts"
Sophomore,Ultimate Frisbee,Beautiful Morning Hikes,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Amazing Race - Full Day Course,Disc Golf,"Grilling, Games, & Grins",Doughnuts around the world,Running Club,Teamwork and Collaboration in Video Games,Globalization of East Asian Foodways
Junior,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Beautiful Morning Hikes,Jane Austen Book Club,Harry Potter: The Wizarding World of June Academy,Beads and Baubles: The Art of Jewelry Making,Floral Design with Foraging,Board Games,"Grilling, Games, & Grins",Introduction to Dog Training
Junior,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Knitting and Crochet: The Basics,Play Like a Kid,Myths and Mirth,Beautiful Morning Hikes,Beads and Baubles: The Art of Jewelry Making,Doughnuts around the world,Floral Design with Foraging,"Quilting as Art, Quilting as Craft",Teamwork and Collaboration in Video Games
Freshman,Knitting and Crochet: The Basics,Beautiful Morning Hikes,Play Like a Kid,Farming to Benefit the Community,"Geography, Exploration, and Technology",Latin American Music and Zumba,Floral Design with Foraging,Doughnuts around the world,Introduction to Dog Training,Intro to Italian
Sophomore,Play Like a Kid,Wilderness Survival,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Amazing Race - Full Day Course,Fishing at the pond,"Fly Fishing for Life - all are welcome, from beginners to experts","Grilling, Games, & Grins",Shark Tank,Doughnuts around the world,Songwriters' Seminar
Junior,Fishing at the pond,Disc Golf,Introduction to Podcasting,Ultimate Frisbee,Harry Potter: The Wizarding World of June Academy,"Grilling, Games, & Grins",Board Games,Shark Tank,Doughnuts around the world,NASA in the Movies
